Color Display Locator,Color Number,Color Name,CBG Legacy Color Name,Color Name (Canada - English),Color Name (Canada - French),Color Collection,CBG NA Color Family Name,LRV Notation Number,RGB-1 Red Color Value,RGB-2 Green Color Value,RGB-3 Blue Color Value,Hex Value,Color Sample sRGB,CMYK-1 Cyan Color Value,CMYK-2 Magenta Color Value,CMYK-3 Yellow Color Value,CMYK-4 Black Color Value,Freezer name,Channel,Color Description
NV101A,4002-9A,Purple Mist,,Purple Mist,Brume violette,,Purples,72,227,218,232,E3DAE8,,2,6,0,9,FVUP4002-9A,Lowe's,
NV101B,4002-9B,Whipped Plum,,Whipped Plum,Prune fouettée,,Purples,64,218,206,226,DACEE2,,4,9,0,11,FVUP4002-9B,Lowe's,
NV101C,4002-9C,Purple Whisper,,Purple Whisper,Rumeur violette,,Purples,59,213,195,225,D5C3E1,,5,13,0,12,FVUP4002-9C,Lowe's,
NV101D,4002-10A,Purple Gala,,Purple Gala,Gala violet,,Purples,39,185,158,205,B99ECD,,10,23,0,20,FVUP4002-10A,Lowe's,
NV101E,4002-10B,Plum Burst,,Plum Burst,Éclat de prune,,Purples,24,153,123,181,997BB5,,15,32,0,29,FVUP4002-10B,Lowe's,
NV101F,4002-10C,Sonic Plum,,Sonic Plum,Prune sonique,,Purples,11,119,80,139,77508B,,14,42,0,45,FVUP4002-10C,Lowe's,
NV101G,8001-1G,Amethyst Ice,,Amethyst Ice,Glace améthyste,,Purples,10,115,70,130,734682,,12,46,0,49,FNVL1001_7,Lowe's,
NV102A,4001-9B,Simply Lavender,,Simply Lavender,Simplement lavande,,Purples,68,227,209,228,E3D1E4,,0,8,0,11,FVUP4001-9B,Lowe's,
NV102B,4001-9C,Lavender Quartz,,Lavender Quartz,Quartz lavande,,Purples,59,220,193,221,DCC1DD,,0,13,0,13,FVUP4001-9C,Lowe's,
NV102C,4001-10A,Plink,,Plink,Violet-rose,,Purples,44,202,166,207,CAA6CF,,2,20,0,19,FVUP4001-10A,Lowe's,
NV102D,4001-10B,Berries Galore,,Berries Galore,Baies abondantes,,Purples,27,171,125,178,AB7DB2,,4,30,0,30,FVUP4001-10B,Lowe's,
NV102E,8001-2E,Pishposh,,Pishposh,Abracadabrant,,Purples,20,150,110,156,966E9C,,4,29,0,39,FCLD_48_6,Lowe's,
NV102F,4001-10C,Cosmic Berry,,Cosmic Berry,Baie cosmique,,Purples,11,126,72,131,7E4883,,4,45,0,49,FVUP4001-10C,Lowe's,
NV102G,8001-2G,Comtesse,,Comtesse,Comtesse,,Purples,6,99,53,112,633570,,12,53,0,56,FNVL1002_7,Lowe's,
NV103A,1002-4C,Cascadia,,Cascadia,Cascadia,,Pinks,77,242,222,235,F2DEEB,,0,8,3,5,FVUP1002-4C,Lowe's,
NV103B,1001-2B,Pink Odyssey,,Pink Odyssey,Odyssée rose,,Pinks,70,241,209,228,F1D1E4,,0,13,5,5,FVUP1001-2B,Lowe's,
NV103C,1001-2A,Magic Wand,,Magic Wand,Baguette magique,,Pinks,57,233,184,217,E9B8D9,,0,21,7,9,FVUP1001-2A,Lowe's,
NV103D,1001-1C,Pink Plunge,,Pink Plunge,Plongeon rose,,Pinks,46,224,161,205,E0A1CD,,0,28,8,12,FVUP1001-1C,Lowe's,
NV103E,1001-1B,Raspberry Sorbet,,Raspberry Sorbet,Sorbet à la framboise,,Pinks,30,207,121,177,CF79B1,,0,42,14,19,FVUP1001-1B,Lowe's,
NV103F,1001-1A,Cosmic Pink,,Cosmic Pink,Rose cosmique,,Pinks,24,197,100,160,C564A0,,0,49,19,23,FVUP1001-1A,Lowe's,
NV103G,8001-3G,Pink Pizzazz,,Pink Pizzazz,Prestance rose,,Pinks,15,172,75,126,AC4B7E,,0,56,27,33,FNVL1004_7,Lowe's,
NV104A,1001-2C,Pink Mist,,Pink Mist,Brume rose,,Pinks,80,245,226,234,F5E2EA,,0,8,4,4,FVUP1001-2C,Lowe's,
NV104B,1002-2B,Pink Quartz,,Pink Quartz,Quartz rose,,Pinks,63,241,197,215,F1C5D7,,0,18,11,5,FVUP1002-2B,Lowe's,
NV104C,1002-2A,Pink Frenzy,,Pink Frenzy,Frénésie rose,,Pinks,48,234,164,191,EAA4BF,,0,30,18,8,FVUP1002-2A,Lowe's,
NV104D,1002-1C,Berry Twist,,Berry Twist,Torsion de baies,,Pinks,33,212,131,166,D483A6,,0,38,22,17,FVUP1002-1C,Lowe's,
NV104E,1002-1B,Rose Dust,,Rose Dust,Poussière de rose,,Pinks,23,200,97,144,C86190,,0,52,28,22,FVUP1002-1B,Lowe's,
NV104F,1002-1A,Very Berry,,Very Berry,Très baie,,Pinks,16,183,71,110,B7476E,,0,61,40,28,FVUP1002-1A,Lowe's,
NV104G,8001-4G,Perfect Pout,,Perfect Pout,Moue parfaite,,Pinks,9,162,31,78,A21F4E,,0,81,52,36,FNVL1005_7,Lowe's,
NV105A,4001-9A,Lavender Moon,,Lavender Moon,Lune de lavande,,Pinks,83,246,232,236,F6E8EC,,0,6,4,4,FVUP4001-9A,Lowe's,
NV105B,1003-2C,Utterly Pink,,Utterly Pink,Complètement rose,,Pinks,75,248,217,227,F8D9E3,,0,13,8,3,FVUP1003-2C,Lowe's,
NV105C,1003-2B,Pink Destiny,,Pink Destiny,Destinée rose,,Pinks,66,246,200,217,F6C8D9,,0,19,12,4,FVUP1003-2B,Lowe's,
NV105D,1003-2A,Hushed Rose,,Hushed Rose,Rose feutré,,Pinks,53,240,174,196,F0AEC4,,0,28,18,6,FVUP1003-2A,Lowe's,
NV105E,1003-1C,Positively Pink,,Positively Pink,Réellement rose,,Pinks,43,235,151,178,EB97B2,,0,36,24,8,FVUP1003-1C,Lowe's,
NV105F,1003-1B,Frosty Berry,,Frosty Berry,Baie givrée,,Pinks,29,221,111,146,DD6F92,,0,50,34,13,FVUP1003-1B,Lowe's,
NV105G,8001-5G,Glorious,,Glorious,Glorieux,,Pinks,16,188,70,102,BC4666,,0,63,46,26,FNVL1007_7,Lowe's,
NV106A,1004-2C,Pixie Dust,,Pixie Dust,Poudre de fée,,Pinks,80,249,226,231,F9E2E7,,0,9,7,2,FVUP1004-2C,Lowe's,
NV106B,1007-4B,Hello Dolly,,Hello Dolly,Allo Dolly,,Pinks,69,245,207,217,F5CFD9,,0,16,11,4,FVUP1007-4B,Lowe's,
NV106C,1007-4A,Prom Pink,,Prom Pink,Bal en rose,,Pinks,57,237,185,198,EDB9C6,,0,22,16,7,FVUP1007-4A,Lowe's,
NV106D,1007-3C,Second Blush,,Second Blush,Joue fardée,,Pinks,43,232,154,172,E89AAC,,0,34,26,9,FVUP1007-3C,Lowe's,
NV106E,1007-3B,Reflecting Rose,,Reflecting Rose,Rose réflexion,,Pinks,30,214,121,141,D6798D,,0,43,34,16,FVUP1007-3B,Lowe's,
NV106F,8001-6F,Mon Cher Ami,,Mon Cher Ami,Mon cher ami,,Reds,17,191,74,96,BF4A60,,0,61,50,25,FPL02_12,Lowe's,
NV106G,8001-6G,Fire-Breathing Dragon,,Fire-Breathing Dragon,Dragon cracheur de feu,,Reds,11,171,49,72,AB3148,,0,71,58,33,FPL02_13,Lowe's,
NV107A,1007-4C,Art Deco Pink,,Art Deco Pink,Rose art déco,,Pinks,76,249,219,226,F9DBE2,,0,12,9,2,FVUP1007-4C,Lowe's,
